state,district,member,party
Alabama,1,Phillip Pettus,R
Alabama,2,Ben Harrison,R
Alabama,3,Kerry Underwood,R
Alabama,4,Parker Moore,R
Alabama,5,Danny Crawford,R
Alabama,6,Andy Whitt,R
Alabama,7,Ernie Yarbrough,R
Alabama,8,Terri Collins,R
Alabama,9,Scott Stadthagen,R
Alabama,10,Marilyn Lands,D
Alabama,11,Heath Allbright,R
Alabama,12,Cindy Myrex,R
Alabama,13,Greg Barnes,R
Alabama,14,Tim Wadsworth,R
Alabama,15,Leigh Hulsey,R
Alabama,16,Bryan Brinyark,R
Alabama,17,Tracy Estes,R
Alabama,18,Jamie Kiel,R
Alabama,19,Laura Hall,D
Alabama,20,James Lomax,R
Alabama,21,Rex Reynolds,R
Alabama,22,Ritchie Whorton,R
Alabama,23,Mike Kirkland,R
Alabama,24,Nathaniel Ledbetter,R
Alabama,25,Phillip Rigsby,R
Alabama,26,Brock Colvin,R
Alabama,27,Jeana Ross,R
Alabama,28,Mack Butler,R
Alabama,29,Mark Gidley,R
Alabama,30,Craig Lipscomb,R
Alabama,31,Troy Stubbs,R
Alabama,32,Barbara Boyd,D
Alabama,33,Ben Robbins,R
Alabama,34,David Standridge,R
Alabama,35,Steve Hurst,R
Alabama,36,Randy Wood,R
Alabama,37,Bob Fincher,R
Alabama,38,Kristin Nelson,R
Alabama,39,Ginny Shaver,R
Alabama,40,Chad Robertson,R
Alabama,41,Corley Ellis,R
Alabama,42,Van Smith,R
Alabama,43,Arnold Mooney,R
Alabama,44,Danny Garrett,R
Alabama,45,Susan DuBose,R
Alabama,46,David Faulkner,R
Alabama,47,Mike Shaw,R
Alabama,48,Jim Carns,R
Alabama,49,Russell Bedsole,R
Alabama,50,Jim Hill,R
Alabama,51,Allen Treadaway,R
Alabama,52,Kelvin Datcher,D
Alabama,53,Anthony Daniels,D
Alabama,54,Neil Rafferty,D
Alabama,55,Travis Hendrix,D
Alabama,56,Ontario Tillman,D
Alabama,57,Patrick Sellers,D
Alabama,58,Rolanda Hollis,D
Alabama,59,Mary Moore,D
Alabama,60,Juandalynn Givan,D
Alabama,61,Ron Bolton,R
Alabama,62,Bill Lamb,R
Alabama,63,Norman Crow,R
Alabama,64,Donna Givens,R
Alabama,65,Brett Easterbrook,R
Alabama,66,Alan Baker,R
Alabama,67,Prince Chestnut,D
Alabama,68,Thomas Jackson,D
Alabama,69,Kelvin Lawrence,D
Alabama,70,Christopher J. England,D
Alabama,71,Artis J. McCampbell,D
